"Site","Season","Week","temp"
"C04-MBP1","JA18","Week_1",1.97142857142857
"C04-MBP1","JA18","Week_2",-13.1428571428571
"C04-MBP1","JA18","Week_3",-14.0285714285714
"C04-MBP1","JA18","Week_4",-1.14285714285714
"C04-MBP1","JA18","Week_5",-3.85714285714286
"C04-MBP1","JA18","Week_6",3.67142857142857
"C04-MBP1","JA18","Week_7",-3.68571428571429
"C04-MBP1","JA18","Week_8",-8.1
"C04-MBP1","JA18","Week_9",-1.74285714285714
"C04-MBP1","AP18","Week_1",1.48571428571429
"C04-MBP1","AP18","Week_2",4.45714285714286
"C04-MBP1","AP18","Week_3",0.257142857142857
"C04-MBP1","AP18","Week_4",4.32857142857143
"C04-MBP1","AP18","Week_5",2.28571428571429
"C04-MBP1","AP18","Week_6",6.25714285714286
"C04-MBP1","AP18","Week_7",16.1571428571429
"C04-MBP1","AP18","Week_8",13.8571428571429
"C04-MBP1","AP18","Week_9",12.1714285714286
"C04-MBP1","JU18","Week_1",21.1285714285714
"C04-MBP1","JU18","Week_2",22.6285714285714
"C04-MBP1","JU18","Week_3",23.9714285714286
"C04-MBP1","JU18","Week_4",24.3142857142857
"C04-MBP1","JU18","Week_5",23.4142857142857
"C04-MBP1","JU18","Week_6",21.8714285714286
"C04-MBP1","JU18","Week_7",22.9571428571429
"C04-MBP1","JU18","Week_8",24.5714285714286
"C04-MBP1","JU18","Week_9",24.3857142857143
"C04-MBP1","OC18","Week_1",20.9285714285714
"C04-MBP1","OC18","Week_2",16.1857142857143
"C04-MBP1","OC18","Week_3",17.2714285714286
"C04-MBP1","OC18","Week_4",14.1857142857143
"C04-MBP1","OC18","Week_5",7.6
"C04-MBP1","OC18","Week_6",8.71428571428571
"C04-MBP1","OC18","Week_7",9.25714285714286
"C04-MBP1","OC18","Week_8",3.18571428571429
"C04-MBP1","OC18","Week_9",0.0285714285714286
"C04-MBP1","JA19","Week_1",1.91428571428571
"C04-MBP1","JA19","Week_2",2
"C04-MBP1","JA19","Week_3",2.57142857142857
"C04-MBP1","JA19","Week_4",-1.84285714285714
"C04-MBP1","JA19","Week_5",-3.85714285714286
"C04-MBP1","JA19","Week_6",-9.15714285714286
"C04-MBP1","JA19","Week_7",-9.27142857142857
"C04-MBP1","JA19","Week_8",-3.62857142857143
"C04-MBP1","JA19","Week_9",-2.74285714285714
"C04-MBP1","AP19","Week_1",3.88571428571429
"C04-MBP1","AP19","Week_2",3.88571428571429
"C04-MBP1","AP19","Week_3",6.78571428571429
"C04-MBP1","AP19","Week_4",7.23333333333333
"C04-MBP1","AP19","Week_5",9.52857142857143
"C04-MBP1","AP19","Week_6",10.5714285714286
"C04-MBP1","AP19","Week_7",8.21428571428571
"C04-MBP1","AP19","Week_8",10.0142857142857
"C04-MBP1","AP19","Week_9",13.2285714285714
"C04-MBP1","JU19","Week_1",15.3857142857143
"C04-MBP1","JU19","Week_2",22.9571428571429
"C04-MBP1","JU19","Week_3",24.1857142857143
"C04-MBP1","JU19","Week_4",23.3285714285714
"C04-MBP1","JU19","Week_5",26.0857142857143
"C04-MBP1","JU19","Week_6",22.6428571428571
"C04-MBP1","JU19","Week_7",22.2
"C04-MBP1","JU19","Week_8",23.7571428571429
"C04-MBP1","JU19","Week_9",23.0285714285714
"C04-MBP1","OC19","Week_1",21.5714285714286
"C04-MBP1","OC19","Week_2",18.8428571428571
"C04-MBP1","OC19","Week_3",17.1428571428571
"C04-MBP1","OC19","Week_4",12.4428571428571
"C04-MBP1","OC19","Week_5",11.1571428571429
"C04-MBP1","OC19","Week_6",9.05714285714286
"C04-MBP1","OC19","Week_7",4.55714285714286
"C04-MBP1","OC19","Week_8",1.71428571428571
"C04-MBP1","OC19","Week_9",-2.2
"C04-MBP1","JA20","Week_1",0.885714285714286
"C04-MBP1","JA20","Week_2",5.95714285714286
"C04-MBP1","JA20","Week_3",1.77142857142857
"C04-MBP1","JA20","Week_4",0.957142857142857
"C04-MBP1","JA20","Week_5",-4.27142857142857
"C04-MBP1","JA20","Week_6",-0.0428571428571429
"C04-MBP1","JA20","Week_7",1.75714285714286
"C04-MBP1","JA20","Week_8",-1.08571428571429
"C04-MBP1","JA20","Week_9",-3.77142857142857
"C05-BMP1","JA18","Week_1",1.97142857142857
"C05-BMP1","JA18","Week_2",-13.1428571428571
"C05-BMP1","JA18","Week_3",-14.0285714285714
"C05-BMP1","JA18","Week_4",-1.14285714285714
"C05-BMP1","JA18","Week_5",-3.85714285714286
"C05-BMP1","JA18","Week_6",3.67142857142857
"C05-BMP1","JA18","Week_7",-3.68571428571429
"C05-BMP1","JA18","Week_8",-8.1
"C05-BMP1","JA18","Week_9",-1.74285714285714
"C05-BMP1","AP18","Week_1",1.48571428571429
"C05-BMP1","AP18","Week_2",4.45714285714286
"C05-BMP1","AP18","Week_3",0.257142857142857
"C05-BMP1","AP18","Week_4",4.32857142857143
"C05-BMP1","AP18","Week_5",2.28571428571429
"C05-BMP1","AP18","Week_6",6.25714285714286
"C05-BMP1","AP18","Week_7",16.1571428571429
"C05-BMP1","AP18","Week_8",13.8571428571429
"C05-BMP1","AP18","Week_9",12.1714285714286
"C05-BMP1","JU18","Week_1",21.1285714285714
"C05-BMP1","JU18","Week_2",22.6285714285714
"C05-BMP1","JU18","Week_3",23.9714285714286
"C05-BMP1","JU18","Week_4",24.3142857142857
"C05-BMP1","JU18","Week_5",23.4142857142857
"C05-BMP1","JU18","Week_6",21.8714285714286
"C05-BMP1","JU18","Week_7",22.9571428571429
"C05-BMP1","JU18","Week_8",24.5714285714286
"C05-BMP1","JU18","Week_9",24.3857142857143
"C05-BMP1","OC18","Week_1",20.9285714285714
"C05-BMP1","OC18","Week_2",16.1857142857143
"C05-BMP1","OC18","Week_3",17.2714285714286
"C05-BMP1","OC18","Week_4",14.1857142857143
"C05-BMP1","OC18","Week_5",7.6
"C05-BMP1","OC18","Week_6",8.71428571428571
"C05-BMP1","OC18","Week_7",9.25714285714286
"C05-BMP1","OC18","Week_8",3.18571428571429
"C05-BMP1","OC18","Week_9",0.0285714285714286
"C05-BMP1","JA19","Week_1",1.91428571428571
"C05-BMP1","JA19","Week_2",2
"C05-BMP1","JA19","Week_3",2.57142857142857
