Site,Date,Time,Species,group,Height,Distance,Compass,UTM_X,UTM_Y,Lat,Long,Accuracy,Elevation,Trail_Marker,Transect,Habitat,nose,Behavior,Cue
1MGB,27-03-11,07:35,Eulemur albifrons,2,4,na,10,339063,8307397,-15.304877,49.501019,40,582,0,Z,Edge,RF,Alarm call,Call
1MGB,28-03-11,06:47,Indri indri,4 to 5,20,>100,70,339443,8306173,-15.315963,49.504479,8,582,425,G,Ridge,RF,Social call,Call
1MGB,28-03-11,06:49,Indri indri,4 to 5,20,>100,70,339443,8306173,-15.315963,49.504479,8,582,425,G,Ridge,RF,Social call,Call
1MGB,20-04-11,08:57,Indri indri,2,12,15,340,338288,8306416,-15.313695,49.493739,6,599,1025,M,Ridge,RF,Jumping,See
1MGB,28-03-11,07:05,Varecia variegata,3 to 5,10,>100,90,339490,8306098,-15.316644,49.504911,9,610,525,G,Ridge,RF,Social call,Call
2AJB,13-11-10,11:42,Avahi laniger,3,3,5,20,352523,8319655,-15.194889,49.627079,5,538,1850,R,Ridge,RF,Sleep,
2AJB,15-11-10,18:46,Eulemur albifrons,5,10,15,20,352541,8319630,-15.195116,49.627245,5,531,1825,R,Ridge,RF,Stop,
2AJB,15-11-10,18:31,Microcebus rufus*,1,3,4,260,352460,8319691,-15.194561,49.626495,5,560,1950,R,Ridge,RF,Stop,
3AJB,12-09-11,19:30,Avahi laniger,1,5,7,320,351808,8319857,-15.193023,49.620436,4,563,1100,A,Ridge,RF,Stop,
3AJB,12-09-11,19:53,Avahi laniger,1,4,7,260,351783,8319453,-15.196673,49.620179,4,507,675,A,Ridge,RF,Stop,
3AJB,22-09-11,18:48,Avahi laniger,1,10,7,340,352480,8319684,-15.194625,49.62668,5,465,1925,R,Ridge,RF,Stop,
3AJB,29-09-11,19:15,Avahi laniger,2,10,7,260,351560,8320661,-15.185742,49.618175,4,573,1325,C,Ridge,RF,Stop,
3AJB,01-10-11,20:37,Avahi laniger,2,8,7,200,351553,8319287,-15.19816,49.618029,5,411,1350,A,Ridge,RF,Stop,
3AJB,03-10-11,18:36,Avahi laniger,1,4,7,80,352353,8319266,-15.198396,49.625474,5,512,1500,R,Ridge,RF,Stop,
3AJB,03-10-11,18:59,Avahi laniger,1,5,7,140,352458,8319393,-15.197254,49.626459,5,541,1305,R,Ridge,RF,Stop,
3AJB,05-10-11,18:26,Avahi laniger,1,5,7,140,351396,8319232,-15.198649,49.616564,6,401,150,A,Ridge,RF,Stop,
3AJB,18-10-11,19:36,Avahi laniger,1,5,7,120,351803,8319591,-15.195427,49.620374,3,504,775,A,Ridge,RF,Stop,
3AJB,18-10-11,19:48,Avahi laniger,2,5,7,240,351744,8319386,-15.197276,49.619813,3,492,350,A,Ridge,RF,Stop,
3AJB,18-10-11,19:53,Avahi laniger,1,6,7,280,351669,8319328,-15.197796,49.619111,5,474,500,A,Ridge,RF,Stop,
3AJB,20-10-11,18:20,Avahi laniger,1,5,7,120,351794,8320940,-15.183234,49.620369,6,718,1875,C,Ridge,RF,Jumping,
3AJB,21-10-11,19:12,Avahi laniger,1,6,7,260,352298,8318956,-15.201195,49.624944,4,556,975,R,Ridge,RF,Stop,
3AJB,29-09-11,18:53,Eulemur albifrons,6,10,7,260,351782,8320806,-15.184444,49.62025,4,654,1650,C,Ridge,RF,Stop,
3AJB,05-09-11,20:10,Microcebus rufus*,1,6,7,140,352362,8319037,-15.200466,49.625544,5,543,1050,R,Ridge,RF,Stop,
3AJB,05-09-11,20:11,Microcebus rufus*,1,4,7,140,352362,8319037,-15.200466,49.625544,5,543,1050,R,Ridge,RF,Stop,
3AJB,22-09-11,19:35,Microcebus rufus*,1,9,7,160,352365,8319047,-15.200376,49.625573,3,558,1550,R,Ridge,RF,Jumping,
3AJB,22-09-11,19:53,Microcebus rufus*,1,4,7,260,352312,8318959,-15.201168,49.625074,5,543,975,R,Ridge,RF,Jumping,
3AJB,26-09-11,19:40,Microcebus rufus*,1,9,7,240,352346,8319261,-15.198441,49.625408,4,521,1300,R,Ridge,RF,Jumping,
3AJB,30-09-11,19:32,Microcebus rufus*,1,2,7,240,351117,8329382,-15.197277,49.613976,5,481,725,C,Ridge,RF,Jumping,
3AJB,04-10-11,18:20,Microcebus rufus*,1,3,7,300,352564,8319564,-15.195714,49.627455,5,515,1175,R,Ridge,RF,Stop and Jumping ,
3AJB,19-10-11,19:16,Microcebus rufus*,1,2,7,260,351795,8319797,-15.193565,49.620311,4,447,1050,A,Ridge,RF,Jumping,
4AJB,07-08-12,20:29,Avahi laniger,1,6,7,340,351489,8319296,-15.198075,49.617434,5,324,275,A,Ridge,RF,Stop ,See
4AJB,24-09-12,19:17,Avahi laniger,1,6,7,220,351891,8319858,-15.193019,49.621208,4,558,1200,A,Ridge,RF,Stop,see
4AJB,02-10-12,18:21,Avahi laniger,1,6,7,340,352489,8319680,-15.194662,49.626764,4,550,2075,R,Ridge,RF,Stop,See
4AJB,05-10-12,08:41,Eulemur albifrons,2,6,7,220,352570,8319574,-15.195624,49.627512,4,459,1925,R,Ridge,RF,Feeding,see
4AJB,03-10-12,19:03,Microcebus rufus,1,g,7,80,352339,8319227,-15.198747,49.625341,3,516,1150,R,Ridge,RF,Jumping,See
SOA,26-04-11,18:55,Avahi laniger,2,5,7,280,334174,8346590,-14.950348,49.458057,4,1115,775,D,Ridge,RF,Stop,Seen
SOA,26-04-11,19:35,Avahi laniger,1,6,7,220,334142,8346338,-14.952623,49.457744,4,1134,1200,D,Ridge,RF,Jumping,Seen
