Site,Date,Time,Time_L,Species,GroupSize,HeightM,DistanceM,CompassDegree,UtmX,UtmY,Lat,Long,AccuracyM,ElevationM,TrailMarker,Transect,Habitat,Scientist,ActivityBehavior,Cue,ID,Atsrix
1MGB,27-03-11,7H 35M 0S,07:35,Eulemur albifrons,2,4,4,10,339063,8307397,-15.304877,49.501019,40,582,0,Z,Edge,RF,Alarm call,Call,1,0
1MGB,28-03-11,6H 47M 0S,06:47,Indri indri,4,20,100,70,339443,8306173,-15.315963,49.504479,8,582,425,G,Ridge,RF,Social call,Call,2,0
1MGB,28-03-11,6H 49M 0S,06:49,Indri indri,4,20,100,70,339443,8306173,-15.315963,49.504479,8,582,425,G,Ridge,RF,Social call,Call,3,0
1MGB,20-04-11,8H 57M 0S,08:57,Indri indri,2,12,12,340,338288,8306416,-15.313695,49.493739,6,599,1025,M,Ridge,RF,Jumping,See,4,0
1MGB,28-03-11,7H 5M 0S,07:05,Varecia variegata,3,10,100,90,339490,8306098,-15.316644,49.504911,9,610,525,G,Ridge,RF,Social call,Call,5,0
2AJB,13-11-10,11H 42M 0S,11:42,Avahi laniger,3,3,3,20,352523,8319655,-15.194889,49.627079,5,538,1850,R,Ridge,RF,Sleeping,NA,6,0
2AJB,15-11-10,18H 46M 0S,18:46,Eulemur albifrons,5,10,10,20,352541,8319630,-15.195116,49.627245,5,531,1825,R,Ridge,RF,Stop,NA,7,0
2AJB,15-11-10,18H 31M 0S,18:31,Microcebus rufus,1,3,3,260,352460,8319691,-15.194561,49.626495,5,560,1950,R,Ridge,RF,Stop,NA,8,1
3AJB,12-09-11,19H 30M 0S,19:30,Avahi laniger,1,5,5,320,351808,8319857,-15.193023,49.620436,4,563,1100,A,Ridge,RF,Stop,NA,9,0
3AJB,12-09-11,19H 53M 0S,19:53,Avahi laniger,1,4,4,260,351783,8319453,-15.196673,49.620179,4,507,675,A,Ridge,RF,Stop,NA,10,0
3AJB,22-09-11,18H 48M 0S,18:48,Avahi laniger,1,10,10,340,352480,8319684,-15.194625,49.62668,5,465,1925,R,Ridge,RF,Stop,NA,11,0
3AJB,29-09-11,19H 15M 0S,19:15,Avahi laniger,2,10,10,260,351560,8320661,-15.185742,49.618175,4,573,1325,C,Ridge,RF,Stop,NA,12,0
3AJB,01-10-11,20H 37M 0S,20:37,Avahi laniger,2,8,8,200,351553,8319287,-15.19816,49.618029,5,411,1350,A,Ridge,RF,Stop,NA,13,0
3AJB,03-10-11,18H 36M 0S,18:36,Avahi laniger,1,4,4,80,352353,8319266,-15.198396,49.625474,5,512,1500,R,Ridge,RF,Stop,NA,14,0
3AJB,03-10-11,18H 59M 0S,18:59,Avahi laniger,1,5,5,140,352458,8319393,-15.197254,49.626459,5,541,1305,R,Ridge,RF,Stop,NA,15,0
