"sites","water","lawn_grass","urban","forest","shrub","herbaceous","wetland","ag"
"C04-MBP1",0.0143143429716576,0.0117377612367592,0.820784425994847,0.0549670770111652,0.000858860578299456,0.000858860578299456,0.0833094760950472,0
"C05-BEA1",0.0797704447632712,0.0602582496413199,0.522812051649928,0.0373027259684362,0.0048780487804878,0.132281205164993,0.111047345767575,0.012338593974175
"C05-BMP1",0.257675753228121,0.13428981348637,0.318794835007174,0.0226685796269727,0.00717360114777618,0.0447632711621234,0.190530846484935,0.00143472022955524
"C05-BMP2",0.146054519368723,0.00229555236728838,0.281779053084649,0.0352941176470588,0.00975609756097561,0.195408895265423,0.237876614060258,0.0048780487804878
"C05-EGG1",0.0734366035570855,0.0189328743545611,0.709695926563396,0.0278255880665519,0,0.01061388410786,0.125932300631096,0.03184165232358
"C06-BEA2",0.142734060884549,0.0310166570936244,0.330557151062608,0.0729465824238943,0.0275703618609994,0.0712234348075819,0.141010913268237,0.0919012062033314
"C06-HMP1",0.153978248425873,0.00429307384087006,0.442186605609616,0.0718374356038924,0.0191757298225529,0.139668002289639,0.0583858042358329,0.0769891242129365
"D02-BMT1",0.0119897230944904,0.000570939194975735,0.983442763345704,0,0,0,0,0
"D02-HUP0",0.00287108814240597,0.0292850990525409,0.894631065173701,0.000574217628481194,0,0.0361757105943152,0,0
"D02-JBS1",0.424476927486386,0.0369733447979364,0.47750071653769,0.0111779879621668,0,0.0120378331900258,0.00716537689882488,0.00171969045571797
"D02-MDU1",0.745064377682403,0.0409155937052933,0.115593705293276,0.000572246065808298,0.00171673819742489,0.0203147353361946,0,0.00658082975679542
"D02-MOP1",0,0.000286615075952995,0.999713384924047,0,0,0,0,0
"D02-RCP1",0.0157412707498569,0.00314825414997138,0.97853463079565,0,0,0.00143102461362335,0,0
"D02-SCP1",0.00544100801832761,0,0.993986254295533,0,0,0,0,0
"D03-AFP1",0,0.00171969045571797,0.993121238177128,0,0,0.00401261106334193,0,0
"D03-AMP1",0,0.00744772271555428,0.986536808937267,0.000286450873675165,0,0.00401031223145231,0.000572901747350329,0
"D03-CHP1",0,0.00200803212851406,0.996270797475617,0,0,0.000286861732644865,0,0
"D03-GOM1",0,0.111906124785346,0.830566685746995,0.0108757870635375,0,0.00171722953634803,0.0380652547223812,0
"D03-HOR1",0.000861079219288174,0.0321469575200918,0.931974741676234,0.00287026406429392,0,0.00287026406429392,0,0
"D03-NPV1",0.000859845227858985,0.108913728862138,0.807394668959587,0.0481513327601032,0,0.00257953568357696,0.0100315276583548,0.00143307537976498
"D03-STB1",0,0.00200630553167097,0.997993694468329,0,0,0,0,0
"D04-DNP1",0,0.102696500286862,0.897303499713138,0,0,0,0,0
"D04-EDW0",0,0.166285060103034,0.618775042930738,0.0592444190040069,0,0.0100171722953635,0.137664567830567,0.00114481969089868
"D04-FGP1",0,0.0403895731881982,0.86078487539387,0.0108851331996563,0,0.0103122314523059,0.0770552850186193,0
