"","sp_det","locationAbbr","DD_Long","DD_Lat"
"1",1,"S04-HAP1",-87.7793543684532,41.7803437091935
"2",1,"S03-VIP1",-87.7478188450438,41.8024130843899
"3",5,"R06-SLT3",-87.9513299853591,41.8648516460697
"4",1,"S03-WAP1",-87.7188881836732,41.8116857326238
"5",5,"S10-ILC1",-88.069300615747,41.637772644328
"6",3,"S10-LEW1",-88.0771022608994,41.5993836925352
"7",3,"S04-OTW1",-87.8037352003821,41.8151314453286
"8",2,"D03-NPV1",-87.7283421049806,41.9859517651439
"9",1,"C05-BMP2",-87.5648609879757,41.6857366901334
"10",2,"R10-FRM1",-88.2632108704708,41.8190132441525
"11",3,"R06-OTB1",-87.9777967321941,41.8524837541691
"12",2,"S05-SFP3",-87.8601634315528,41.7584116816873
"13",2,"S07-SAG2",-87.9310900856695,41.6891716535188
"14",3,"S02-BNS1",-87.5930694308916,41.8120079342904
"15",2,"S07-STJ1",-87.9321190992202,41.6981793288212
"16",2,"D10-MAC1",-87.9275300461995,42.2547599350185
"17",3,"R07-FSP1",-88.0222840352979,41.850889468804
"18",2,"D09-CLG2",-87.9191520204086,42.190369994312
"19",2,"R05-FMG1",-87.9128043127273,41.8482361081554
"20",2,"R07-GOF1",-88.041946786371,41.8659161111978
"21",2,"R08-VLG1",-88.0709124841554,41.8521575895054
"22",2,"R06-YOW1",-87.933121365462,41.8587008169227
"23",2,"S09-KTP1",-88.033807567488,41.6782326963531
"24",3,"D05-MIA1",-87.7956733525519,42.0242240538107
"25",2,"D09-RYW1",-87.9041948168214,42.1775918956997
"26",3,"D09-VTC1",-87.9292670367713,42.2037708390443
"27",2,"C05-SPA1",-87.5635175470222,41.6680983277148
"28",2,"D03-GOM1",-87.7306344105149,41.9752733604263
"29",2,"S06-CBW2",-87.8925229765137,41.7288022104463
"30",2,"R09-LIM2",-88.1230559577123,41.8710689388748
"31",3,"R02-HRF1",-87.7135301798515,41.8687909871892
"32",4,"R10-WDW1",-88.1922244518103,41.8659133540166
"33",2,"S08-WGL2",-87.9917406560907,41.6919698144863
"34",1,"S03-LCP1",-87.7508553038619,41.8140121547601
"35",3,"D10-VHC1",-87.9473560014032,42.2226710016933
"36",3,"J01-LMP1",-87.6105364898055,41.8371537203368
"37",2,"S07-WGL3",-87.9443600035242,41.7003806740263
"38",2,"S08-WGL3",-87.9590198557433,41.704560101191
"39",2,"C05-IRM1",-87.5620588930067,41.6785537417133
"40",2,"R09-CTG3",-88.162129393145,41.8501539337879
"41",2,"R08-WBK1",-88.0613564500979,41.8417714676347
"42",2,"R09-BLW1",-88.1472429469649,41.8631111258702
"43",3,"R09-SMI1",-88.1123400984561,41.8528085842718
"44",3,"R04-MMW3",-87.8276318582547,41.8635535193801
"45",2,"D10-CAN1",-87.938477351586,42.2400538782042
"46",1,"J01-NOR1",-87.6079059141592,41.8608016442375
"47",3,"D07-NOC1",-87.8794551716585,42.0943404360428
"48",2,"S03-JKP2",-87.5801070180176,41.7857468652855
"49",2,"R04-SCH1",-87.8484205621399,41.8556830133762
"50",2,"D04-ROS2",-87.6893206614132,41.9877418509027
"51",1,"D06-KCG1",-87.8532863286806,42.0798485321891
"52",2,"S03-JKP1",-87.5829998225775,41.78226454392
"53",3,"D08-DAW2",-87.9014514840652,42.1353198606048
"54",2,"R06-SLT2",-87.9567804035102,41.8746552290812
"55",2,"D02-MBS1",-87.6327773031857,41.9624795699162
"56",3,"S05-RES1",-87.8236344869215,41.7613454152983
"57",2,"S02-TNW1",-87.6006567962215,41.8238846372591
"58",1,"D07-BEC2",-87.8870508966563,42.0805742007753
"59",2,"S09-VTW1",-88.0620234630708,41.6698691096352
"60",1,"D05-ADC2",-87.7944926152454,42.0021481597772
"61",2,"R10-WCP3",-88.2299922706158,41.8894636642328
"62",1,"C05-BMP1",-87.5751008036425,41.6947785751219
"63",2,"D02-MBS2",-87.6330065420284,41.9636942061801
"64",1,"D02-RCP1",-87.6932934297924,41.9410814786985
"65",2,"R03-AUP1",-87.7689775997422,41.887658054835
"66",2,"R03-CPG1",-87.7721357479954,41.8756578678114
"67",3,"D05-PRC1",-87.8318761935434,42.0215626320133
"68",1,"R02-FRP1",-87.7327613190757,41.8616581010524
"69",1,"R02-DPG1",-87.6996980716466,41.8603691649786
