Site,Begin,End,Survey.Days,Urban.Development,Forest.Cover
Site1,8/14/21,9/11/21,28,0.00,0.75
Site2,10/1/21,11/6/21,36,0.00,0.73
Site3,9/18/21,11/6/21,49,0.00,0.73
Site4,9/18/21,11/6/21,49,0.00,0.69
Site5,9/18/21,11/6/21,49,0.01,0.60
Site6,9/18/21,11/6/21,49,0.05,0.51
Site7,9/18/21,11/6/21,49,0.07,0.47
Site8,9/18/21,11/6/21,49,0.09,0.42
Site9,9/18/21,11/6/21,49,0.14,0.34
Site10,9/19/21,11/7/21,49,0.03,0.55
Site12,8/15/21,11/7/21,84,0.00,0.71
Site13,9/11/21,11/7/21,57,0.00,0.77
Site14,9/1/21,11/10/21,70,0.67,0.00
Site15,9/1/21,11/4/21,64,0.52,0.01
Site16,9/1/21,11/3/21,63,0.62,0.00
Site17,9/11/21,11/3/21,53,0.62,0.00
Site18,9/15/21,11/3/21,49,0.60,0.00
Site19,9/11/21,11/3/21,53,0.60,0.00
Site20,8/17/21,11/3/21,78,0.44,0.02
Site21,10/6/21,11/3/21,28,0.78,0.00
Site22,8/29/21,10/28/21,60,0.56,0.00
