Site,Species,Date.Time
Site1,Deer,2021-08-16 12:10:48
Site1,Deer,2021-08-16 07:48:58
Site1,Deer,2021-08-16 12:15:23
Site1,Deer,2021-08-25 15:12:43
Site1,Deer,2021-08-25 15:16:56
Site1,Deer,2021-08-29 07:42:10
Site1,Deer,2021-09-01 10:16:24
Site1,Deer,2021-09-06 07:09:16
Site1,Deer,2021-09-08 10:38:31
Site1,Deer,2021-09-09 10:42:17
Site1,Deer,2021-09-07 00:22:09
Site12,Deer,2021-08-15 19:03:08
Site12,Deer,2021-08-20 13:40:59
Site12,Deer,2021-08-23 18:14:22
Site12,Deer,2021-08-23 19:47:12
Site12,Deer,2021-08-26 16:38:05
Site12,Puma,2021-08-29 20:10:02
Site12,Deer,2021-08-15 19:01:15
Site12,Puma,2021-08-20 19:56:19
Site12,Puma,2021-08-19 22:55:19
Site12,Deer,2021-08-17 03:10:52
Site12,Puma,2021-08-28 05:17:49
Site12,Moose,2021-08-29 20:48:16
Site12,Puma,2021-09-01 04:20:09
Site12,Puma,2021-09-01 04:26:01
Site12,Puma,2021-09-01 04:42:10
Site12,Puma,2021-09-01 05:14:16
Site12,Deer,2021-09-09 11:04:41
Site12,Deer,2021-09-09 11:42:18
Site12,Deer,2021-09-09 18:13:06
Site12,Puma,2021-08-16 07:24:50
Site12,Puma,2021-09-01 04:21:49
Site12,Puma,2021-09-01 05:12:38
Site12,Elk,2021-09-06 01:10:57
Site12,Elk,2021-09-17 07:15:22
Site12,Deer,2021-09-17 19:35:13
Site12,Deer,2021-08-26 17:20:20
Site12,Puma,2021-08-31 21:06:52
Site12,Puma,2021-09-01 08:04:51
Site12,Puma,2021-09-01 04:27:22
Site12,Moose,2021-09-04 20:21:27
Site12,Deer,2021-09-09 10:49:19
Site12,Elk,2021-09-11 09:36:58
Site12,Elk,2021-09-13 18:44:08
Site12,Elk,2021-09-17 08:29:28
Site12,Deer,2021-09-19 08:17:47
Site12,Deer,2021-09-09 11:20:57
Site12,Deer,2021-09-17 23:47:48
Site12,Puma,2021-09-02 03:39:36
Site12,Puma,2021-08-25 07:56:26
Site3,Elk,2021-09-21 20:21:24
Site3,Moose,2021-09-23 00:18:50
Site3,Moose,2021-09-24 01:26:09
Site3,Moose,2021-09-24 23:59:17
Site3,Deer,2021-09-25 14:01:45
Site3,Moose,2021-09-25 21:58:19
Site3,Moose,2021-09-28 07:20:55
Site3,Deer,2021-09-28 10:00:47
Site3,Deer,2021-09-28 10:17:45
Site3,Moose,2021-09-29 06:06:40
Site3,Moose,2021-09-30 05:33:21
Site4,Moose,2021-09-21 15:12:43
Site4,Moose,2021-09-22 08:53:49
Site4,Moose,2021-09-23 19:51:13
Site4,Moose,2021-09-25 10:57:04
Site4,Moose,2021-09-25 13:13:56
Site4,Moose,2021-09-21 14:31:50
Site4,Moose,2021-09-21 14:57:06
Site4,Deer,2021-09-29 08:37:49
Site5,Moose,2021-09-22 09:18:48
Site5,Elk,2021-09-22 09:52:02
Site5,Coyote,2021-09-23 10:54:26
Site5,Moose,2021-09-23 20:18:44
Site5,Elk,2021-09-24 17:52:47
Site6,Elk,2021-09-19 06:16:36
Site6,Elk,2021-09-19 06:27:57
Site6,Coyote,2021-09-22 08:38:33
Site6,Moose,2021-09-22 08:52:09
Site6,Coyote,2021-09-23 04:46:28
Site6,Coyote,2021-09-23 04:48:34
Site6,Coyote,2021-09-23 04:52:35
Site6,Coyote,2021-09-23 11:26:10
Site6,Coyote,2021-09-23 15:32:01
Site6,Moose,2021-09-23 20:26:28
Site6,Elk,2021-09-24 07:32:17
Site6,Moose,2021-09-24 08:22:11
Site6,Elk,2021-09-26 15:41:42
Site9,Deer,2021-09-18 12:12:43
Site9,Deer,2021-09-18 22:27:17
Site9,Deer,2021-09-18 22:32:30
Site9,Deer,2021-09-18 22:42:12
Site9,Deer,2021-09-18 22:58:24
Site9,Deer,2021-09-18 23:01:03
Site9,Deer,2021-09-21 13:25:55
Site9,Deer,2021-09-21 13:37:13
Site9,Deer,2021-09-21 16:54:54
Site9,Deer,2021-09-21 16:59:05
Site9,Deer,2021-09-21 17:01:27
Site9,Deer,2021-09-22 04:19:44
Site9,Deer,2021-09-22 06:24:51
Site9,Deer,2021-09-23 07:39:40
Site9,Deer,2021-09-23 07:45:15
Site9,Deer,2021-09-23 12:00:22
Site9,Deer,2021-09-24 05:29:44
Site9,Deer,2021-09-24 17:11:29
Site9,Deer,2021-09-24 19:14:41
Site9,Deer,2021-09-24 19:20:03
Site9,Coyote,2021-09-25 22:32:00
Site8,Elk,2021-09-21 18:47:18
Site8,Elk,2021-09-22 08:05:00
Site8,Elk,2021-09-22 08:29:18
Site8,Deer,2021-09-24 21:53:45
Site8,Deer,2021-09-25 04:45:12
Site8,Coyote,2021-09-25 15:46:13
Site8,Puma,2021-09-26 00:17:41
Site8,Elk,2021-09-27 08:03:33
Site9,Deer,2021-09-27 17:27:16
Site8,Elk,2021-09-28 08:05:55
Site9,Deer,2021-09-28 16:27:28
Site9,Deer,2021-09-28 18:52:43
Site9,Deer,2021-09-28 18:54:41
Site9,Puma,2021-09-29 05:00:02
Site9,Puma,2021-09-29 05:04:39
Site10,Elk,2021-09-20 13:14:08
Site10,Deer,2021-09-22 03:25:32
Site10,Deer,2021-09-22 03:28:16
Site10,Moose,2021-09-22 16:16:20
Site10,Elk,2021-09-22 16:56:26
Site10,Elk,2021-09-22 16:58:15
Site10,Elk,2021-09-22 17:00:09
Site10,Elk,2021-09-22 17:11:46
Site10,Elk,2021-09-23 04:01:11
Site10,Elk,2021-09-24 15:10:03
Site10,Elk,2021-09-24 17:28:49
Site10,Elk,2021-09-24 17:34:37
Site10,Elk,2021-09-24 17:37:42
Site10,Elk,2021-09-24 17:40:19
Site10,Elk,2021-09-24 17:47:18
Site10,Coyote,2021-09-25 12:09:22
Site10,Puma,2021-09-24 20:27:18
Site10,Coyote,2021-09-25 12:49:40
Site10,Moose,2021-09-26 07:49:38
Site10,Elk,2021-09-26 18:18:08
Site10,Elk,2021-09-26 18:24:55
Site10,Elk,2021-09-26 18:33:55
Site10,Elk,2021-09-26 18:38:28
Site10,Elk,2021-09-27 16:16:42
Site10,Elk,2021-09-28 12:32:34
Site10,Elk,2021-09-28 12:38:57
Site10,Puma,2021-10-03 05:43:39
Site10,Puma,2021-10-03 06:54:59
Site14,Deer,2021-09-30 02:01:05
Site13,Deer,2021-09-26 22:07:01
Site13,Deer,2021-09-28 10:44:13
Site16,Deer,2021-09-26 05:24:57
Site18,Deer,2021-09-25 16:13:23
Site18,Deer,2021-09-25 17:46:59
Site18,Deer,2021-09-25 19:27:30
Site18,Deer,2021-09-29 16:52:42
Site18,Deer,2021-09-29 16:54:27
Site18,Deer,2021-09-29 16:55:36
Site18,Deer,2021-09-29 16:57:30
Site18,Deer,2021-09-29 17:01:45
Site18,Deer,2021-10-02 19:10:33
Site18,Deer,2021-10-03 06:19:42
Site18,Deer,2021-10-03 06:21:09
Site18,Deer,2021-09-17 06:31:10
Site18,Deer,2021-09-30 19:57:11
Site18,Deer,2021-10-03 04:19:21
Site19,Deer,2021-09-11 19:19:03
Site19,Deer,2021-09-13 06:52:21
Site19,Deer,2021-09-14 07:51:24
Site19,Deer,2021-09-16 05:58:57
Site19,Deer,2021-09-17 07:21:22
Site19,Deer,2021-09-18 08:23:28
Site19,Deer,2021-09-18 09:00:07
Site19,Deer,2021-09-18 19:46:12
Site19,Deer,2021-09-18 19:47:28
Site19,Deer,2021-09-18 19:48:47
Site19,Deer,2021-09-18 19:50:08
Site19,Deer,2021-09-18 22:58:59
Site19,Deer,2021-09-19 05:08:27
Site19,Deer,2021-09-19 05:13:18
Site19,Deer,2021-09-19 05:15:24
Site19,Deer,2021-09-19 06:27:11
Site19,Deer,2021-09-19 07:04:22
Site19,Deer,2021-09-20 08:41:43
Site19,Deer,2021-09-20 13:29:44
Site19,Deer,2021-09-21 09:40:45
Site19,Deer,2021-09-22 00:22:21
Site19,Deer,2021-09-22 07:30:59
Site19,Deer,2021-09-22 07:34:23
Site19,Deer,2021-09-22 07:37:40
Site19,Deer,2021-09-22 07:52:13
Site19,Deer,2021-09-22 07:53:40
Site19,Deer,2021-09-22 08:14:34
Site19,Deer,2021-09-22 08:16:25
Site19,Deer,2021-09-22 15:56:39
Site19,Deer,2021-09-23 02:11:08
Site19,Deer,2021-09-23 05:21:37
Site19,Deer,2021-09-23 07:12:20
Site19,Deer,2021-09-23 07:26:57
Site19,Deer,2021-09-23 07:29:50
Site19,Deer,2021-09-23 09:00:18
Site19,Deer,2021-09-23 09:19:20
Site19,Deer,2021-09-24 07:55:51
Site19,Deer,2021-09-24 07:58:55
Site19,Deer,2021-09-24 08:02:25
Site19,Deer,2021-09-24 08:18:34
Site19,Deer,2021-09-24 08:20:36
Site19,Deer,2021-09-24 08:48:45
Site19,Deer,2021-09-24 08:56:48
Site19,Deer,2021-09-24 11:00:13
Site19,Deer,2021-09-24 19:14:47
Site19,Deer,2021-09-25 07:02:38
Site19,Deer,2021-09-25 07:12:39
Site19,Deer,2021-09-25 07:15:02
Site19,Deer,2021-09-25 07:17:44
Site19,Deer,2021-09-25 07:19:06
Site19,Deer,2021-09-25 19:10:11
Site19,Deer,2021-09-25 19:20:49
Site19,Deer,2021-09-25 19:34:11
Site19,Deer,2021-09-26 06:32:29
Site19,Deer,2021-09-26 06:55:36
Site19,Deer,2021-09-26 06:59:03
Site19,Deer,2021-09-27 06:12:23
Site19,Deer,2021-10-01 07:26:39
Site19,Deer,2021-09-27 06:14:34
Site19,Deer,2021-09-27 07:21:11
Site19,Deer,2021-09-27 07:24:10
Site19,Deer,2021-09-27 07:27:48
Site19,Deer,2021-09-27 07:29:02
Site19,Deer,2021-09-28 19:05:25
Site19,Deer,2021-09-28 19:46:05
Site19,Deer,2021-09-30 07:49:37
Site19,Deer,2021-09-30 08:14:13
Site19,Deer,2021-09-30 08:19:13
Site19,Deer,2021-09-30 08:49:47
Site19,Deer,2021-09-30 08:52:33
Site19,Deer,2021-10-01 04:02:36
Site19,Deer,2021-10-01 04:04:40
Site19,Deer,2021-10-01 04:46:39
Site19,Deer,2021-10-01 05:58:44
Site19,Deer,2021-10-01 06:56:36
Site19,Deer,2021-10-01 06:58:37
Site19,Deer,2021-10-01 07:14:48
Site19,Deer,2021-10-01 07:22:10
Site19,Deer,2021-10-01 07:23:17
Site19,Deer,2021-09-27 08:22:20
Site19,Deer,2021-09-29 08:26:02
Site19,Deer,2021-09-29 19:37:24
Site19,Deer,2021-09-30 07:10:57
Site19,Deer,2021-09-30 07:27:48
Site19,Deer,2021-09-30 08:15:53
Site18,Deer,2021-10-06 17:40:22
Site18,Deer,2021-10-06 20:02:46
Site19,Deer,2021-10-07 07:43:40
Site19,Deer,2021-10-07 07:46:50
Site19,Deer,2021-10-07 07:51:02
Site19,Deer,2021-10-07 07:57:17
Site19,Deer,2021-10-08 05:56:28
Site19,Deer,2021-10-08 06:00:37
Site19,Deer,2021-10-08 07:58:09
Site19,Deer,2021-10-08 08:00:33
Site19,Deer,2021-10-08 08:03:02
Site19,Deer,2021-10-08 08:06:55
Site19,Deer,2021-10-08 08:23:36
Site19,Deer,2021-10-08 08:27:18
Site19,Deer,2021-10-08 08:28:36
Site19,Deer,2021-10-08 08:34:46
Site19,Deer,2021-10-08 18:00:41
Site19,Deer,2021-10-08 18:08:20
Site19,Deer,2021-10-09 07:55:52
Site19,Deer,2021-10-09 12:15:21
Site19,Deer,2021-10-09 12:57:55
Site19,Deer,2021-10-09 10:55:38
Site19,Deer,2021-10-09 11:00:09
Site19,Deer,2021-10-09 12:18:13
