name,longitude,latitude
Univ. Rio Negro,-71.23198979,-41.12540403
Fundac Cruzada Patagonica o Soc Rural,-71.21502091,-41.1173543
Vivero Billy Doll,-71.19478449,-41.1069284
Aeroclub,-71.17786842,-41.09912083
Country,-71.24326719,-41.12588006
ARE La colina,-71.24831289,-41.12807226
Junta Vecinal Las Victorias,-71.26054461,-41.13582169
Roxi stream,-71.16531379,-41.0683703
Club Danes,-71.16913105,-41.08419036
gn6,-71.50205371,-41.10261451
GU14,-71.44751432,-41.10022369
Club equitacion,-71.45064127,-41.10370327
BP,-71.36363929,-41.12808923
viv ara,-71.38636174,-41.12554517
cole la semilla,-71.38098213,-41.12690665
cementerio,-71.30461037,-41.15863662
vivero,-71.34505474,-41.13013911
sociedad rural,-71.22394626,-41.11737581
gea ipatec,-71.4233926,-41.12936491
Arelauquen,-71.39134675,-41.17168617
Predio Wesley,-71.46622512,-41.08828581
Gf,-71.49885144,-41.07168261
gn12,-71.5674507,-41.06389557
GN,-71.43471987,-41.07623785
RU Mor-Ezc,-71.5087563,-41.05640724
Colegio Integral Vuriloche,-71.32742972,-41.13791888
UNCO,-71.31497913,-41.14472
RN,-71.2741886,-41.13392075
DRPN,-71.29342742,-41.13346112
IG,-71.30294433,-41.13296708
INTA,-71.25129184,-41.12384283
GR,-71.22040098,-41.1099032
GN7,-71.36174891,-41.14341853
GU8,-71.38272954,-41.12058251
GN8,-71.3711747,-41.14426111
GN9,-71.38590125,-41.15439167
gU10,-71.40450707,-41.13343381
gn3,-71.45886429,-41.13277701
gn4,-71.46730749,-41.12031016
GU16,-71.4604446,-41.08772791
GU15,-71.46722335,-41.10781841
gn10,-71.54857395,-41.0548229
gn11,-71.56475328,-41.04728936
GU5,-71.36042008,-41.12793301
GU4,-71.34354056,-41.13692222
gu7,-71.37993675,-41.13114153
GU11,-71.40619119,-41.11571271
gu12,-71.42806335,-41.11362703
GU13,-71.44851873,-41.11373067
gn5,-71.48099786,-41.11048281
Arelauquen 2,-71.35710853,-41.16188253
