Site,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36
NCAP-MD-BSP1,0.203994001,-1.262314505,1.559087654,1.430296351,0.333593244,-0.823906841,0.263750672,0.437996497,0.510785671,0.256638542,-0.669010194,0.49292117,2.712867413,0.416603122,-1.765040833,0.521363016,-0.973463811,2.558524414,0.675533182,0.087882685,0.817804729,1.546776554,0.496223366,-0.311282591,-1.205758616,1.758712818,-0.551727846,1.583088464,0.74718214,-0.245043235,-0.946952297,-0.203097073,0.655321833,1.042370962,0.569757291,0.779476149
NCAP-MD-CCC1,1.331624666,1.319885815,0.771181838,1.501605387,1.051005162,0.068842225,0.017726288,-0.543302525,-0.206870164,1.772211558,1.433776834,0.253149368,0.618811135,2.25423505,0.993885497,-0.250315488,0.056223167,-0.150683056,0.772039049,0.079974985,0.939555165,-0.229431885,-0.193040452,1.381165825,-0.414757976,-0.266453323,0.08968961,0.145960824,0.314415504,0.175060325,0.31936867,0.61806686,-0.982741088,0.020311624,0.061725478,-1.620461309
NCAP-MD-CRG1,-1.016085685,-0.517252211,-0.081720105,0.964249782,1.418335096,0.991256718,-0.707989885,0.537141815,0.038542399,-0.137135454,0.699778611,-0.109103547,-0.509557724,-2.368146423,-0.928268151,1.675532248,0.274577158,-0.152603364,-0.638671979,-0.260117642,-1.640069215,0.792099998,0.918586178,0.296542866,-1.262538285,-0.599200375,-0.424475673,0.070482165,-0.02441394,1.493135825,0.12513315,2.153889468,1.439952311,-0.432143391,1.270779498,1.731724912
NCAP-MD-CVH1,0.680208732,-2.315112035,-0.950528645,-0.854694617,1.349633047,-1.827069902,0.227543348,-0.436277155,1.705621008,-0.290026268,-1.176525975,0.798085912,0.976434494,-0.77929658,1.439594844,-0.929254068,-1.902896587,0.069215467,0.428554925,1.53115272,0.571258708,-0.571442612,-1.578623412,-0.442855265,-0.315560074,-1.006565404,-0.169436823,-1.418717067,1.410698348,-1.068602554,0.341040157,0.205852161,1.084218383,0.926585434,1.126362937,-1.757797569
NCAP-MD-FFP1,1.745809083,-0.237339739,0.914603867,1.556382465,2.004356513,-1.408008155,-1.108524714,-0.821291546,0.778522927,-0.622480569,0.222891647,0.626536373,0.123368516,-1.828599992,0.547356319,0.019247736,0.930944095,-0.497409871,-1.186056223,1.072161198,1.21785149,0.574577834,-1.055890754,0.909582597,-1.098452213,-1.407505013,0.057501858,-0.224957774,1.413443135,0.007979648,-0.650556276,0.440812301,0.720116367,-0.796539656,0.526078307,-0.330672994
NCAP-MD-GCP1,0.397079101,1.693532429,-0.857373912,-0.002823713,-0.532395302,1.235826329,-0.919479674,-0.206164828,-0.982371038,-0.294931904,-0.107395499,0.616841282,-1.449774491,0.008116628,-0.91355164,0.425294813,0.424359643,-0.945809279,0.524567569,-2.549254023,0.247978533,-0.763820733,-1.519892166,-0.422471758,0.028252049,-1.601694255,-1.314978724,-0.833356731,-1.018402025,-0.127178536,-1.32647888,1.08026714,0.177241262,1.125044559,-0.283989843,0.141968205
NCAP-MD-HCR1,-0.481129467,0.17866904,-0.070213311,-0.690496714,-1.615634362,0.796007354,-1.369130355,1.108164822,-0.260201542,-0.108504449,-2.538842614,1.272621908,1.315194389,-0.903502784,-1.999871597,0.92151967,-0.639917549,0.76089416,1.053503082,1.254342335,-0.679603628,-0.417399986,-1.951165345,-0.397738655,-1.131757888,-0.898837016,-0.766247351,0.200968084,-0.469032154,-0.401597353,-0.131379545,-0.608017553,-1.22389513,-0.870654486,-0.16262949,0.470524222
NCAP-MD-IST1,-1.220429557,-1.281851985,0.003076725,-0.604891069,1.649109066,1.804862484,0.757881199,0.440069815,-1.022850199,-1.690609483,2.095464897,0.385409757,-2.022344944,-0.512371293,0.603467385,-0.761191239,-0.001198055,-0.494583547,-0.451845906,-0.669125714,0.225921398,-1.010480137,-1.640559968,-0.727122351,-0.150923894,0.584030561,0.540756825,1.440496257,-0.856853967,0.591769043,0.47708483,0.891328891,0.795253595,-0.199407897,-1.086898172,-0.044394968
NCAP-MD-KCP1,0.544283613,-0.716071787,0.58156203,0.857570264,1.58728301,0.276336098,1.0688394,-0.142786944,1.170894132,-0.320877782,1.509001014,-1.570115079,1.139029727,0.814383384,0.357317725,0.722959199,0.182949589,0.801155047,2.171557874,0.730505097,0.077420344,-0.296288536,-1.110448852,-0.685203955,-0.161011763,1.125286479,-0.2175011,0.176321683,-0.465662376,0.699257901,-1.712036588,-0.315734509,-2.183854835,1.459038326,0.282589191,0.914045951
NCAP-MD-LFP1,-0.872657569,-1.396476331,1.248204179,-1.118343476,0.233749748,-1.060602942,1.200394137,0.294991534,-0.128461049,-0.108048246,1.219696769,-0.117786507,0.265833951,0.213381433,-1.65719026,0.712348892,-1.025142025,-0.977872052,-2.281785477,-0.982114822,0.284003526,2.132222513,0.150805635,-0.479295401,-1.343074519,0.594303818,0.033009477,-0.424056232,0.977961642,1.036025513,0.626262437,-0.439525016,0.375339473,-1.457064538,0.378822807,-0.677533114
