"sites","LocationName.geometry","water","lawn_grass","urban_low","urban_med","urban_high","forest","shrub","herbaceous","wetland","ag"
"C04-MBP1",c(-87.57339472, 41.71308499),0.0144117139279842,0.011214985512197,0.252165794372559,0.360787332057953,0.209294602274895,0.0530483292532153,0.0014404181856662,0.00104812462814152,0.0821317210793495,0
"C05-BMP1",c(-87.57510693, 41.69479206),0.257031291723251,0.136165380477905,0.0952025428414345,0.0821196660399437,0.141102328896523,0.0229815300554037,0.00786146055907011,0.0429310724139214,0.190774202346802,0.00157229218166322
"C05-BMP2",c(-87.56486107, 41.6857457),0.150723859667778,0.00275410083122551,0.038520585745573,0.116079792380333,0.1277736723423,0.0358065557666123,0.0104864630848169,0.191207274794579,0.234406568109989,0.00486558210104704
"C05-SPA1",c(-87.56351755, 41.66809833),0.139333084225655,0.0248267222195864,0.086453340947628,0.247216835618019,0.340465217828751,0.00945534557104111,0.0178039316087961,0.0547786951065063,0.0567207895219326,0
"C06-HMP1",c(-87.56991671, 41.65680784),0.151973381638527,0.00498344609513879,0.0642837435007095,0.153360605239868,0.227500468492508,0.0727806688519195,0.0196852292865515,0.137647017836571,0.0571533124893904,0.0778877194970846
"D02-BMT1",c(-87.66977928, 41.91433602),0.0130875399336219,0.000261126580880955,0.00449865125119686,0.245600968599319,0.731851518154144,0,0,0,0,0
"D02-HUP0",c(-87.69904915, 41.90585734),0.00313654984347522,0.0277061890810728,0.103956706821918,0.474769532680511,0.31959730386734,0.000784137460868806,0,0.0342406705021858,0,0
"D02-JBS1",c(-87.6399905, 41.94889355),0.422514855861664,0.0384977795183659,0.0278848595917225,0.160621181130409,0.292775481939316,0.00966244540177286,0,0.0107070337980986,0.00626753177493811,0.00130573578644544
"D02-MOP1",c(-87.72430748, 41.91858492),0,0.00052265269914642,0.00506389187648892,0.586521983146667,0.407891452312469,0,0,0,0,0
"D02-RCP1",c(-87.69329358, 41.94109499),0.0151600716635585,0.00261042383499444,0.0343975424766541,0.420581847429276,0.524639666080475,0,0,0.00156625430099666,0,0
"D02-SCP1",c(-87.68589743, 41.92296839),0.00724628567695618,0,0.00816142279654741,0.418153673410416,0.56565523147583,0,0,0,0,0
"D03-AFP1",c(-87.71652991, 41.94666256),0,0.00156614393927157,0.0279791224747896,0.574255764484406,0.391018837690353,0,0,0.00439708726480603,0,0
"D03-AMP1",c(-87.7482015, 41.96850882),0,0.00896936934441328,0.0408463440835476,0.647449791431427,0.297194272279739,0.000440229778178036,0,0.0027827313169837,0.000770644575823098,0
"D03-CHP1",c(-87.76234923, 41.94245857),0,0.00234872661530972,0.0119998585432768,0.777199745178223,0.206624925136566,0,0,0.000260969623923302,0,0
"D03-GOM1",c(-87.73063446, 41.97527786),0,0.107778698205948,0.254448175430298,0.461361736059189,0.118682697415352,0.0107380738481879,0,0.00209009763784707,0.0374027192592621,0
"D03-NPV1",c(-87.72834195, 41.98593826),0.000521770096383989,0.106712751090527,0.309201747179031,0.343812018632889,0.155858486890793,0.0483882240951061,0,0.00260885036550462,0.0104600042104721,0.00104354019276798
